eprintid	rev_number	eprint_status	userid	dir	datestamp	lastmod	status_changed	type	metadata_visibility	sword_depositor	title	ispublished	date	date_type	id_number	official_url	PMID	full_text_status	publication	pagerange	refereed	issn	Attribute:id	abstract	volume	number	pmcid	publisher
40848	8	archive	39	disk0/00/04/08/48	2/28/23 20:31	2/28/23 20:31	2/28/23 20:31	article	show	39	A lotus by any other color: Gene regulation divergence in lotus petal development	pub	12/26/22	published	10.1093/plphys/kiac596	https://www.ncbi.nlm.nih.gov/pubmed/36567508	36567508	public	Plant Physiology	kiac596	TRUE	0032-0889	https://repository.cshl.edu/id/eprint/40848					
40781	8	archive	39	disk0/00/04/07/81	1/4/23 17:45	1/4/23 17:45	1/4/23 17:45	article	show	39	Learning single-cell chromatin accessibility profiles using meta-analytic marker genes	pub	12/22/22	published	10.1093/bib/bbac541	https://www.ncbi.nlm.nih.gov/pubmed/36549922	36549922	public	Briefings in Bioinformatics	bbac541	TRUE	1467-5463	https://repository.cshl.edu/id/eprint/40781	"MOTIVATION: Single-cell assay for transposase accessible chromatin using sequencing (scATAC-seq) is a valuable resource to learn cis-regulatory elements such as cell-type specific enhancers and transcription factor binding sites. However, cell-type identification of scATAC-seq data is known to be challenging due to the heterogeneity derived from different protocols and the high dropout rate. RESULTS: In this study, we perform a systematic comparison of seven scATAC-seq datasets of mouse brain to benchmark the efficacy of neuronal cell-type annotation from gene sets. We find that redundant marker genes give a dramatic improvement for a sparse scATAC-seq annotation across the data collected from different studies. Interestingly, simple aggregation of such marker genes achieves performance comparable or higher than that of machine-learning classifiers, suggesting its potential for downstream applications. Based on our results, we reannotated all scATAC-seq data for detailed cell types using robust marker genes. Their meta scATAC-seq profiles are publicly available at https://gillisweb.cshl.edu/Meta_scATAC. Furthermore, we trained a deep neural network to predict chromatin accessibility from only DNA sequence and identified key motifs enriched for each neuronal subtype. Those predicted profiles are visualized together in our database as a valuable resource to explore cell-type specific epigenetic regulation in a sequence-dependent and -independent manner."				
40777	7	archive	39	disk0/00/04/07/77	3/31/23 20:07	3/31/23 20:07	3/31/23 20:07	article	show	39	Metabolism in acute myeloid leukemia: mechanistic insights and therapeutic targets	pub	12/22/22	published	10.1182/blood.2022018092	https://www.ncbi.nlm.nih.gov/pubmed/36548959	36548959	none	Blood		TRUE	Jun-71	https://repository.cshl.edu/id/eprint/40777	"Metabolic rewiring and cellular reprogramming are trademarks of neoplastic initiation and progression in acute myeloid leukemia (AML). Metabolic alteration in leukemia cells is often genotype-specific, with associated changes in epigenetic and functional factors resulting in the downstream upregulation or facilitation of oncogenic pathways. Targeting abnormal or disease-sustaining metabolic activities in AML provides a wide range of therapeutic opportunities, ideally with enhanced therapeutic windows and robust clinical efficacy. This review highlights the dysregulation of amino acid, nucleotide, lipid, and carbohydrate metabolism in AML, explores the role of key vitamins and enzymes that regulate these processes, and provides an overview of metabolism-directed therapies currently in use or development."				
40775	8	archive	39	disk0/00/04/07/75	12/22/22 15:53	12/22/22 15:53	12/22/22 15:53	article	show	39	BRD8 maintains glioblastoma by epigenetic reprogramming of the p53 network	pub	12/21/22	published	10.1038/s41586-022-05551-x	https://www.ncbi.nlm.nih.gov/pubmed/36544023	36544023	none	Nature		TRUE	0028-0836	https://repository.cshl.edu/id/eprint/40775	"Inhibition of the tumour suppressive function of p53 (encoded by TP53) is paramount for cancer development in humans. However, p53 remains unmutated in the majority of cases of glioblastoma (GBM)-the most common and deadly adult brain malignancy1,2. Thus, how p53-mediated tumour suppression is countered in TP53 wild-type (TP53WT) GBM is unknown. Here we describe a GBM-specific epigenetic mechanism in which the chromatin regulator bromodomain-containing protein 8 (BRD8) maintains H2AZ occupancy at p53 target loci through the EP400 histone acetyltransferase complex. This mechanism causes a repressive chromatin state that prevents transactivation by p53 and sustains proliferation. Notably, targeting the bromodomain of BRD8 displaces H2AZ, enhances chromatin accessibility and engages p53 transactivation. This in turn enforces cell cycle arrest and tumour suppression in TP53WT GBM. In line with these findings, BRD8 is highly expressed with H2AZ in proliferating single cells of patient-derived GBM, and is inversely correlated with CDKN1A, a canonical p53 target that encodes p21 (refs. 3,4). This work identifies BRD8 as a selective epigenetic vulnerability for a malignancy for which treatment has not improved for decades. Moreover, targeting the bromodomain of BRD8 may be a promising therapeutic strategy for patients with TP53WT GBM."				
40801	6	archive	39	disk0/00/04/08/01	1/23/23 21:02	1/23/23 21:02	1/23/23 21:02	article	show	39	Single Oligonucleotide Capture of RNA And Temperature Elution Series ( SOCRATES ) for Identification of RNA-binding Proteins	pub	12/20/22	published	10.21769/BioProtoc.4572	https://www.ncbi.nlm.nih.gov/pubmed/36618090	36618090	none	Bio-protocol	e4572	TRUE	2331-8325	https://repository.cshl.edu/id/eprint/40801	"The importance of studying the mechanistic aspects of long non-coding RNAs is being increasingly emphasized as more and more regulatory RNAs are being discovered. Non-coding RNA sequences directly associate with generic RNA-binding proteins as well as specific proteins, which cooperate in the downstream functions of the RNA and can also be dysregulated in various physiologic states and/or diseases. While current methods exist for identifying RNA-protein interactions, these methods require high quantities of input cells or use pooled capture reagents that may increase non-specific binding. We have developed a method to efficiently capture specific RNAs using less than one million input cells. One single oligonucleotide is used to pull down the target RNA of choice and oligonucleotide selection is driven by sequence accessibility. We perform thermal elution to specifically elute the target RNA and its associated proteins, which are identified by mass spectrometry. Ultimately, two target and control oligonucleotides are used to create an enrichment map of interacting proteins of interest. This protocol was validated in: eLife (2021), DOI: 10.7554/eLife.68263."	12	24	PMC9797359	
40778	12	archive	39	disk0/00/04/07/78	1/4/23 15:17	1/4/23 15:17	1/4/23 15:17	article	show	39	Automated assembly scaffolding using RagTag elevates a new tomato system for high-throughput genome editing	pub	12/15/22	published	10.1186/s13059-022-02823-7	https://www.ncbi.nlm.nih.gov/pubmed/36522651	36522651	public	Genome Biology	258	TRUE	1474-7596	https://repository.cshl.edu/id/eprint/40778	"Advancing crop genomics requires efficient genetic systems enabled by high-quality personalized genome assemblies. Here, we introduce RagTag, a toolset for automating assembly scaffolding and patching, and we establish chromosome-scale reference genomes for the widely used tomato genotype M82 along with Sweet-100, a new rapid-cycling genotype that we developed to accelerate functional genomics and genome editing in tomato. This work outlines strategies to rapidly expand genetic systems and genomic resources in other plant species."	23	1	PMC9753292	
40802	18	archive	39	disk0/00/04/08/02	1/27/23 15:32	2/6/23 13:49	1/27/23 15:32	article	show	39	Prevalent and dynamic binding of the cell cycle checkpoint kinase Rad53 to gene promoters	pub	12/15/22	published	10.7554/eLife.84320	https://www.ncbi.nlm.nih.gov/pubmed/36520028	36520028	public	eLife	e84320	TRUE	2050-084X	https://repository.cshl.edu/id/eprint/40802	"Replication of the genome must be coordinated with gene transcription and cellular metabolism, especially following replication stress in the presence of limiting deoxyribonucleotides. The Saccharomyces cerevisiae Rad53 (CHEK2 in mammals) checkpoint kinase plays a major role in cellular responses to DNA replication stress. Cell cycle regulated, genome-wide binding of Rad53 to chromatin was examined. Under replication stress, the kinase bound to sites of active DNA replication initiation and fork progression, but unexpectedly to the promoters of about 20% of genes encoding proteins involved in multiple cellular functions. Rad53 promoter binding correlated with changes in expression of a subset of genes. Rad53 promoter binding to certain genes was influenced by sequence-specific transcription factors and less by checkpoint signaling. However, in checkpoint mutants, untimely activation of late-replicating origins reduces the transcription of nearby genes, with concomitant localization of Rad53 to their gene bodies. We suggest that the Rad53 checkpoint kinase coordinates genome-wide replication and transcription under replication stress conditions."	11		PMC9797190	
40756	11	archive	39	disk0/00/04/07/56	11/14/22 18:05	12/16/22 20:11	11/14/22 18:05	article	show	39	Genetic ancestry inference from cancer-derived molecular data across genomic and transcriptomic platforms	pub	12/13/22	published	10.1158/0008-5472.CAN-22-0682	https://www.ncbi.nlm.nih.gov/pubmed/36351074	36351074	public	Cancer Research	CAN-22	TRUE	Aug-72	https://repository.cshl.edu/id/eprint/40756	"Genetic ancestry-oriented cancer research requires the ability to perform accurate and robust genetic ancestry inference from existing cancer-derived data, including whole exome sequencing, transcriptome sequencing, and targeted gene panels, very often in the absence of matching cancer-free genomic data. Here we examined the feasibility and accuracy of computational inference of genetic ancestry relying exclusively on cancer-derived data. A data synthesis framework was developed to optimize and assess the performance of the ancestry inference for any given input cancer-derived molecular profile. In its core procedure, the ancestral background of the profiled patient is replaced with one of any number of individuals with known ancestry. The data synthesis framework is applicable to multiple profiling platforms, making it possible to assess the performance of inference specifically for a given molecular profile and separately for each continental-level ancestry; this ability extends to all ancestries, including those without statistically sufficient representation in the existing cancer data. The inference procedure was demonstrated to be accurate and robust in a wide range of sequencing depths. Testing of the approach in four representative cancer types and across three molecular profiling modalities showed that continental-level ancestry of patients can be inferred with high accuracy, as quantified by its agreement with the gold standard of deriving ancestry from matching cancer-free molecular data. This study demonstrates that vast amounts of existing cancer-derived molecular data are potentially amenable to ancestry-oriented studies of the disease without requiring matching cancer-free genomes or patient self-reported ancestry."				
40782	7	archive	39	disk0/00/04/07/82	1/6/23 16:59	1/6/23 16:59	1/6/23 16:59	article	show	39	A dopaminergic reward prediction error signal shapes maternal behavior in mice	pub	12/13/22	published	10.1016/j.neuron.2022.11.019	https://www.ncbi.nlm.nih.gov/pubmed/36543170	36543170	none	Neuron	S0896-6273(22)01073	TRUE	0896-6273	https://repository.cshl.edu/id/eprint/40782	"How social contact is perceived as rewarding and subsequently modifies interactions is unclear. Dopamine (DA) from the ventral tegmental area (VTA) regulates sociality, but the ongoing, unstructured nature of free behavior makes it difficult to ascertain how. Here, we tracked the emergence of a repetitive stereotyped parental retrieval behavior and conclude that VTA DA neurons incrementally refine it by reinforcement learning (RL). Trial-by-trial performance was correlated with the history of DA neuron activity, but DA signals were inconsistent with VTA directly influencing the current trial. We manipulated the subject's expectation of imminent pup contact and show that DA signals convey reward prediction error, a fundamental component of RL. Finally, closed-loop optogenetic inactivation of DA neurons at the onset of pup contact dramatically slowed emergence of parental care. We conclude that this component of maternal behavior is shaped by an RL mechanism in which social contact itself is the primary reward."				
40773	9	archive	39	disk0/00/04/07/73	12/19/22 16:52	12/19/22 16:52	12/19/22 16:52	article	show	39	The effects of microglia on tauopathy progression can be quantified using Nexopathy in silico (Nexis) models	pub	12/7/22	published	10.1038/s41598-022-25131-3	https://www.ncbi.nlm.nih.gov/pubmed/36477076	36477076	public	Scientific Reports	21170	TRUE	2045-2322	https://repository.cshl.edu/id/eprint/40773	"The prion-like transsynaptic propagation of misfolded tau along the brain's connectome has previously been modeled using connectome-based network diffusion models. In addition to the connectome, interactions between the general neurological ""milieu"" in the neurodegenerative brain and proteinopathic species can also contribute to pathology propagation. Such a molecular nexopathy framework posits that the distinct characteristics of neurodegenerative disorders stem from interactions between the network and surrounding molecular players. However, the effects of these modulators remain unquantified. Here, we present Nexopathy in silico (""Nexis""), a quantitative model of tau progression augmenting earlier models by including parameters of pathology propagation defined by the molecular modulators of connectome-based spread. Our Nexis:microglia model provides the first quantitative characterization of this effect on the whole brain by expanding previous models of neuropathology progression by incorporating microglial influence. We show that Trem2, but not microglial homeostasis genes, significantly improved the model's predictive power. Trem2 appears to reduce tau accumulation rate while increasing its interregional spread from the hippocampal seed area, causing higher tau burden in the striatum, pallidum, and contralateral hippocampus. Nexis provides an improved understanding and quantification of microglial contribution to tau propagation and can be flexibly modified to include other modulators of progressive neurodegeneration."	12	1	PMC9729195	
