File,Article Citation,Accession ID,Last Updated (YYYY-MM-DD HH:MM:SS),PMID,License
oa_package/31/c1/PMC1669747.tar.gz,Nucleic Acids Res. 2007 Jan 16; 35(Database issue):D439-D444,PMC1669747,2021-08-07 14:16:30,17142227.0,CC BY-NC
oa_package/24/fd/PMC1669750.tar.gz,Nucleic Acids Res. 2007 Jan 11; 35(Database issue):D506-D510,PMC1669750,2021-08-07 14:16:30,17099234.0,CC BY-NC
oa_package/68/7b/PMC1669757.tar.gz,Nucleic Acids Res. 2007 Jan 16; 35(Database issue):D668-D673,PMC1669757,2021-08-07 14:16:30,17142222.0,CC BY-NC
oa_package/9e/43/PMC1669767.tar.gz,Nucleic Acids Res. 2007 Jan 11; 35(Database issue):D472-D475,PMC1669767,2021-08-07 14:16:30,17099225.0,CC BY-NC
oa_package/90/f4/PMC1784105.tar.gz,BMC Mol Biol. 2007 Jan 17; 8:3,PMC1784105,2012-10-05 08:19:07,17233885.0,CC BY
oa_package/29/49/PMC1796902.tar.gz,BMC Bioinformatics. 2007 Jan 22; 8:19,PMC1796902,2023-04-18 00:10:36,17241466.0,CC BY
oa_package/a0/ac/PMC1800356.tar.gz,Mol Syst Biol. 2007 Jan 16; 3:73,PMC1800356,2023-05-04 14:25:19,17224917.0,NO-CC CODE
oa_package/54/b7/PMC1801076.tar.gz,PLoS One. 2007 Mar 7; 2(3):e267,PMC1801076,2018-02-12 15:26:21,17342201.0,CC BY
oa_package/b6/eb/PMC1804285.tar.gz,PLoS Biol. 2007 Mar 27; 5(3):e47,PMC1804285,2023-05-04 13:25:13,17326723.0,CC BY
oa_package/27/77/PMC1820610.tar.gz,PLoS Biol. 2007 Apr 13; 5(4):e73,PMC1820610,2023-05-06 12:25:12,17355180.0,CC BY
oa_package/1b/32/PMC1820850.tar.gz,PLoS One. 2007 Mar 21; 2(3):e317,PMC1820850,2018-02-13 10:18:25,17380189.0,CC BY
oa_package/fe/8f/PMC1852414.tar.gz,Genome Biol. 2007 Feb 2; 8(2):R17,PMC1852414,2011-01-27 15:34:54,17274821.0,CC BY
oa_package/dc/56/PMC1865048.tar.gz,Nucleic Acids Res. 2007 Mar 7; 35(5):1522-1532,PMC1865048,2020-05-13 20:36:33,17287294.0,CC BY-NC
oa_package/87/e6/PMC1868929.tar.gz,Genome Biol. 2007 Mar 16; 8(3):R39,PMC1868929,2023-05-05 11:25:33,17367534.0,CC BY
oa_package/7f/09/PMC1868940.tar.gz,Genome Biol. 2007 Mar 9; 8(3):R34,PMC1868940,2014-03-06 10:21:03,17349036.0,CC BY
oa_package/ab/29/PMC1885283.tar.gz,PLoS Genet. 2007 Jun 1; 3(6):e86,PMC1885283,2023-05-09 13:25:10,17542647.0,CC BY
oa_package/7d/92/PMC1888723.tar.gz,PLoS One. 2007 Jun 20; 2(6):e533,PMC1888723,2023-05-04 18:25:11,17579707.0,CC BY
oa_package/6e/e9/PMC1888729.tar.gz,PLoS One. 2007 Jun 20; 2(6):e538,PMC1888729,2023-05-05 11:25:33,17579712.0,CC BY
oa_package/22/f3/PMC1892575.tar.gz,PLoS Biol. 2007 Jul 19; 5(7):e174,PMC1892575,2021-09-08 05:31:21,17579518.0,CC BY
oa_package/16/36/PMC1899102.tar.gz,Nucleic Acids Res. 2007 Jan; 35(Database issue):D137-D140,PMC1899102,2013-01-15 18:14:22,17202159.0,CC BY-NC
oa_package/84/8f/PMC1904365.tar.gz,PLoS Genet. 2007 Jun 15; 3(6):e101,PMC1904365,2023-05-09 13:25:10,17571927.0,CC BY
oa_package/e7/c5/PMC1913543.tar.gz,BMC Bioinformatics. 2007 Jun 8; 8:191,PMC1913543,2023-04-17 19:10:15,17559666.0,CC BY
oa_package/77/b1/PMC1914403.tar.gz,PLoS Biol. 2007 Jul 10; 5(7):e189,PMC1914403,2023-05-06 12:25:12,17622195.0,CC BY
oa_package/8e/26/PMC1919376.tar.gz,BMC Microbiol. 2007 Jun 26; 7:61,PMC1919376,2023-05-05 12:25:11,17594494.0,CC BY
oa_package/75/e4/PMC1934990.tar.gz,Nucleic Acids Res. 2007 Jul 18; 35(13):4250-4263,PMC1934990,2013-01-15 16:33:17,17576681.0,CC BY-NC
oa_package/28/e5/PMC1952110.tar.gz,PLoS One. 2007 Sep 5; 2(9):e854,PMC1952110,2018-02-13 10:59:08,17786225.0,CC BY
oa_package/52/cd/PMC1988811.tar.gz,BMC Dev Biol. 2007 Aug 20; 7:97,PMC1988811,2023-05-06 12:25:12,17708765.0,CC BY
oa_package/4e/44/PMC1994992.tar.gz,PLoS Biol. 2007 Oct 2; 5(10):e264,PMC1994992,2021-09-08 05:31:21,17914903.0,CC BY
oa_package/0c/90/PMC1995544.tar.gz,BMC Bioinformatics. 2007 Sep 27; 8(Suppl 6):S3,PMC1995544,2023-05-05 20:25:25,17903284.0,CC BY
oa_package/4e/9d/PMC2031922.tar.gz,PLoS One. 2007 Oct 24; 2(10):e1083,PMC2031922,2018-02-13 11:17:55,17957265.0,CC BY
oa_package/d7/cb/PMC2064426.tar.gz,J Cell Biol. 2007 Jul 2; 178(1):93-105,PMC2064426,2018-02-20 11:13:33,17606868.0,CC BY-NC-SA
oa_package/eb/68/PMC2082077.tar.gz,PLoS One. 2007 Nov 28; 2(11):e1213,PMC2082077,2023-05-06 17:25:14,18043729.0,CC BY
oa_package/27/5b/PMC2100148.tar.gz,PLoS Biol. 2007 Dec 4; 5(12):e321,PMC2100148,2023-05-09 09:25:12,18052609.0,CC BY
oa_package/a4/dc/PMC2117343.tar.gz,PLoS One. 2007 Dec 19; 2(12):e1314,PMC2117343,2018-03-27 17:40:05,18091988.0,CC BY
oa_package/dd/60/PMC2129121.tar.gz,PLoS One. 2007 Dec 19; 2(12):e1338,PMC2129121,2023-05-06 20:25:26,18092003.0,CC BY
oa_package/8c/3b/PMC2156186.tar.gz,Plant J. 2007 Nov; 52(3):391-404,PMC2156186,2010-12-24 11:34:26,17764504.0,NO-CC CODE
oa_package/76/61/PMC2180191.tar.gz,PLoS One. 2008 Jan 23; 3(1):e1461,PMC2180191,2018-02-13 12:45:05,18213370.0,CC BY
oa_package/c1/ff/PMC2213611.tar.gz,J Cell Biol. 2008 Jan 14; 180(1):51-65,PMC2213611,2018-02-20 12:33:41,18195101.0,CC BY-NC-SA
oa_package/11/4d/PMC2214813.tar.gz,PLoS Biol. 2008 Jan 29; 6(1):e16,PMC2214813,2017-02-15 16:22:24,18232737.0,CC BY
oa_package/83/09/PMC2222658.tar.gz,BMC Bioinformatics. 2007 Dec 10; 8:474,PMC2222658,2023-04-17 20:10:16,18070356.0,CC BY
oa_package/9a/c3/PMC2231405.tar.gz,BMC Bioinformatics. 2007 Sep 24; 8:359,PMC2231405,2023-04-18 00:10:36,17892592.0,CC BY
oa_package/18/8b/PMC2235902.tar.gz,PLoS Biol. 2008 Feb 12; 6(2):e27,PMC2235902,2021-09-08 05:31:21,18271625.0,CC BY
oa_package/4e/22/PMC2238324.tar.gz,BMC Bioinformatics. 2007 Sep 18; 8:344,PMC2238324,2023-04-17 11:10:13,17877794.0,CC BY
oa_package/ed/26/PMC2238838.tar.gz,Nucleic Acids Res. 2008 Jan; 36(Database issue):D449-D454,PMC2238838,2023-05-07 19:25:39,18194960.0,CC BY-NC
oa_package/88/7d/PMC2238920.tar.gz,Nucleic Acids Res. 2008 Jan 17; 36(Database issue):D1028-D1033,PMC2238920,2023-05-09 09:25:12,18089549.0,CC BY-NC
oa_package/e9/cc/PMC2238927.tar.gz,Nucleic Acids Res. 2008 Jan 8; 36(Database issue):D612-D617,PMC2238927,2013-01-15 12:23:20,17991679.0,CC BY-NC
