Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Callaway, M.K., dos Santos, C.O.","57516391300; 10043589900","Gestational Breast Cancer – a Review of Outcomes, Pathophysiology, and Model Systems",2023,"Journal of Mammary Gland Biology and Neoplasia",28,"1", 16,,,,,10.1007/s10911-023-09546-w,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85164759957&partnerID=40&md5=f4bd5106a353541c08f89f6c22eb4dd5",Review,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85164759957
"Syrjänen, J.L., Epstein, M., Gómez, R., Furukawa, H.","57214221482; 57211284960; 57155751800; 35229357000","Structure of human CALHM1 reveals key locations for channel regulation and blockade by ruthenium red",2023,"Nature Communications",14,"1", 3821,,,,,10.1038/s41467-023-39388-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85163690312&partnerID=40&md5=5c12e9e02f0b30ae7e93bb56e7dee2ab",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85163690312
"Tian, C., Zhou, J., Li, X., Gao, Y., Wen, Q., Kang, X., Wang, N., Yao, Y., Jiang, J., Song, G., Zhang, T., Hu, S., Liao, J.Y., Yu, C., Wang, Z., Liu, X., Pei, X., Chan, K., Liu, Z., Gan, H.","58363337000; 57223249936; 57861456100; 57433196600; 57223233449; 58360830100; 57353625900; 57217849396; 58360830200; 58362080500; 57410008600; 58360830300; 58363337100; 36173481400; 55719628900; 57221421686; 55605765444; 8631854500; 57204843275; 54406918200","Impaired histone inheritance promotes tumor progression",2023,"Nature Communications",14,"1", 3429,,,,,10.1038/s41467-023-39185-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85163052853&partnerID=40&md5=777ee7c66f048aaf2b2a4fa168d7c6ed",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85163052853
"Weinstein, J.Y., Martí-Gómez, C., Lipsh-Sokolik, R., Hoch, S.Y., Liebermann, D., Nevo, R., Weissman, H., Petrovich-Kopitman, E., Margulies, D., Ivankov, D., McCandlish, D.M., Fleishman, S.J.","56516178100; 57198883625; 57219650623; 57947185500; 57994226900; 6602320820; 16443421400; 57204088931; 36546360600; 6506562798; 37064920300; 7004456136","Designed active-site library reveals thousands of functional GFP variants",2023,"Nature Communications",14,"1", 2890,,,,,10.1038/s41467-023-38099-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85159643692&partnerID=40&md5=6d8f98e13ab2e3c7e4e69a086eff6a31",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85159643692
"Majdandzic, A., Rajesh, C., Koo, P.K.","35094392700; 57768929600; 55924625400","Correcting gradient-based interpretations of deep neural networks for genomics",2023,"Genome Biology",24,"1", 109,,,,,10.1186/s13059-023-02956-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85158971317&partnerID=40&md5=2dc88d82732e6c4eea2f2de1d5fc1f8d",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85158971317
"Lee, N.K., Tang, Z., Toneyan, S., Koo, P.K.","57208920856; 57208782365; 57223334177; 55924625400","EvoAug: improving generalization and interpretability of genomic deep neural networks with evolution-inspired data augmentations",2023,"Genome Biology",24,"1", 105,,,,,10.1186/s13059-023-02941-w,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85158163276&partnerID=40&md5=7987dfb781356d1ceff4990afff47ae7",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85158163276
"Herrejon Chavez, F., Luo, H., Cifani, P., Pine, A., Chu, K.L., Joshi, S., Barin, E., Schurer, A., Chan, M., Chang, K., Han, G.Y.Q., Pierson, A.J., Xiao, M., Yang, X., Kuehm, L.M., Hong, Y., Nguyen, D.T.T., Chiosis, G., Kentsis, A., Leslie, C., Vu, L.P., Kharas, M.G.","57211165055; 55914900400; 37072212300; 58196344100; 57200553824; 57215377506; 57216544318; 57205309722; 58164669500; 58164062300; 58164221400; 58196366300; 58196344200; 57216541272; 57192183076; 14321550500; 57194186493; 6701366979; 6603086314; 7101903349; 35206686700; 6506643590","RNA binding protein SYNCRIP maintains proteostasis and self-renewal of hematopoietic stem and progenitor cells",2023,"Nature Communications",14,"1", 2290,,,,,10.1038/s41467-023-38001-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85153548810&partnerID=40&md5=f23b48bb979cf83d4183cf46bd48a055",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85153548810
"Fiskus, W., Mill, C.P., Birdwell, C., Davis, J.A., Das, K., Boettcher, S., Kadia, T.M., DiNardo, C.D., Takahashi, K., Loghavi, S., Soth, M.J., Heffernan, T., McGeehan, G.M., Ruan, X., Su, X., Vakoc, C.R., Daver, N., Bhalla, K.N.","6507203375; 55098583900; 56352421900; 57222253651; 57318233300; 55156558000; 6504388484; 23100054600; 56691990500; 14071732700; 7801557935; 8761171500; 57313172400; 58162315800; 55346986500; 8685299800; 8951602400; 57223871994","Targeting of epigenetic co-dependencies enhances anti-AML efficacy of Menin inhibitor in AML with MLL1-r or mutant NPM1",2023,"Blood Cancer Journal",13,"1", 53,,,,,10.1038/s41408-023-00826-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85152411282&partnerID=40&md5=815ff8892a0192b738411555f2432ba2",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85152411282
"Zeraati, R., Shi, Y.-L., Steinmetz, N.A., Gieselmann, M.A., Thiele, A., Moore, T., Levina, A., Engel, T.A.","57193713644; 56505821900; 14056985700; 22940748700; 7006279090; 35414618700; 57223448961; 25824879700","Intrinsic timescales in the visual cortex change with selective attention and reflect spatial connectivity",2023,"Nature Communications",14,"1", 1858,,,,4,10.1038/s41467-023-37613-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85151720033&partnerID=40&md5=364d5cde74186415d6bffead085d53c3",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85151720033
"Li, F., Wang, Y., Hwang, I., Jang, J.-Y., Xu, L., Deng, Z., Yu, E.Y., Cai, Y., Wu, C., Han, Z., Huang, Y.-H., Huang, X., Zhang, L., Yao, J., Lue, N.F., Lieberman, P.M., Ying, H., Paik, J., Zheng, H.","58163812000; 58025517600; 25121272200; 57222712090; 56809706300; 35309890000; 7202680925; 58163570400; 57403397500; 7402859181; 57190393508; 8681255400; 56226764200; 58025770200; 7003625726; 7102065006; 55671882900; 7102939675; 7403440766","Histone demethylase KDM2A is a selective vulnerability of cancers relying on alternative telomere maintenance",2023,"Nature Communications",14,"1", 1756,,,,,10.1038/s41467-023-37480-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85151203686&partnerID=40&md5=92c0101ddb66bbcb9d195c63a3545b8d",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85151203686
